user_id,n_puzzles,game_type,first_date,last_date,start_rating,end_rating,delta_rating,rating_level,delta_percentile,quartile_min,quartile_max
lukdimarco,27293.0,blitz,2023-01-01,2025-08-14,2075,2126,51,advanced,75-100,41.0,689.0
glanmaster,1004.0,blitz,2023-01-01,2025-07-02,2115,2044,-71,advanced,25-50,-78.0,-17.0
hugoadolfo,35.0,blitz,2023-01-02,2025-08-15,2002,1794,-208,advanced,0-25,-1142.0,-78.0
aeroquil,4418.0,blitz,2024-07-05,2025-08-15,2004,2009,5,advanced,50-75,-17.0,41.0
Doktor_victor,6343.0,blitz,2023-01-15,2025-08-14,1987,2065,78,advanced,75-100,41.0,689.0
S1368,1363.0,blitz,2023-08-26,2025-08-14,2018,1875,-143,advanced,0-25,-1142.0,-78.0
Cristopher_Sonido13,247.0,blitz,2023-01-02,2025-08-15,2012,1914,-98,advanced,0-25,-1142.0,-78.0
AntonielLima,3967.0,blitz,2023-01-02,2025-08-13,2116,2047,-69,advanced,25-50,-78.0,-17.0
nelk19,4547.0,blitz,2023-01-01,2025-08-16,2181,2255,74,advanced,75-100,41.0,689.0
jose_layones,491.0,blitz,2023-01-04,2025-08-15,2080,2080,0,advanced,50-75,-17.0,41.0
Lotus2017,41.0,blitz,2023-01-01,2025-08-15,1962,2043,81,advanced,75-100,41.0,689.0
Ahmedjames7,946.0,blitz,2023-07-02,2025-07-18,1809,1836,27,advanced,50-75,-17.0,41.0
Racger,10708.0,blitz,2023-05-20,2025-07-07,1944,2000,56,advanced,75-100,41.0,689.0
wilsom7,72.0,blitz,2023-01-01,2025-08-15,1944,1973,29,advanced,50-75,-17.0,41.0
BBisplaying,934.0,blitz,2023-01-01,2025-08-15,1934,2000,66,advanced,75-100,41.0,689.0
JONARD_LABADAN,13.0,blitz,2023-01-01,2025-08-13,1868,2002,134,advanced,75-100,41.0,689.0
bamolar,173.0,blitz,2023-01-15,2025-06-12,1879,1782,-97,advanced,0-25,-1142.0,-78.0
andrbind,4507.0,blitz,2023-01-01,2025-08-15,2186,2136,-50,advanced,25-50,-78.0,-17.0
Tarek_M_Fathy,688.0,blitz,2023-01-02,2025-08-16,2041,2000,-41,advanced,25-50,-78.0,-17.0
lemiliog,1109.0,blitz,2023-01-01,2025-08-15,1906,1942,36,advanced,50-75,-17.0,41.0
Patricio_02,81.0,blitz,2023-01-01,2025-08-10,1920,2128,208,advanced,75-100,41.0,689.0
jayamie,36.0,blitz,2023-02-06,2025-08-15,2024,1948,-76,advanced,25-50,-78.0,-17.0
Elis1961,16.0,blitz,2023-04-09,2025-08-07,2191,2078,-113,advanced,0-25,-1142.0,-78.0
BitcoinWarrior,2116.0,blitz,2023-02-02,2025-04-13,1890,1872,-18,advanced,25-50,-78.0,-17.0
queenTau,8014.0,blitz,2023-10-16,2025-06-14,1964,2092,128,advanced,75-100,41.0,689.0
julio29,341.0,blitz,2023-01-06,2025-08-15,1877,1783,-94,advanced,0-25,-1142.0,-78.0
Coquito06,531.0,blitz,2023-01-03,2025-08-14,2162,2198,36,advanced,50-75,-17.0,41.0
Rayo-Mcqueen3000,838.0,blitz,2023-01-10,2025-08-15,1933,2047,114,advanced,75-100,41.0,689.0
Nicocat1,41.0,blitz,2023-04-09,2025-06-22,2105,2087,-18,advanced,25-50,-78.0,-17.0
Marcomorcan,195.0,blitz,2025-04-27,2025-08-10,1986,1734,-252,advanced,0-25,-1142.0,-78.0
Noobmasterplayer123,534.0,blitz,2023-01-01,2025-08-15,2041,2002,-39,advanced,25-50,-78.0,-17.0
Mavi25,5036.0,blitz,2023-01-01,2025-08-15,2049,1919,-130,advanced,0-25,-1142.0,-78.0
MixIva,284.0,blitz,2023-01-01,2025-08-16,2138,2123,-15,advanced,50-75,-17.0,41.0
thunderKeg35,1119.0,blitz,2023-01-09,2025-07-23,1973,2041,68,advanced,75-100,41.0,689.0
lenhador,131.0,blitz,2023-01-05,2025-08-16,1941,1849,-92,advanced,0-25,-1142.0,-78.0
